epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1625494047891,2021-07-05T10.07.27.891,0.000,0.979,-0.039,-0.108
1625494047901,2021-07-05T10.07.27.901,0.010,0.988,-0.037,-0.108
1625494047911,2021-07-05T10.07.27.911,0.020,0.986,-0.039,-0.108
1625494047922,2021-07-05T10.07.27.922,0.031,0.985,-0.038,-0.109
1625494047932,2021-07-05T10.07.27.932,0.041,0.986,-0.040,-0.107
1625494047942,2021-07-05T10.07.27.942,0.051,0.987,-0.039,-0.110
1625494047951,2021-07-05T10.07.27.951,0.060,0.984,-0.038,-0.112
1625494047961,2021-07-05T10.07.27.961,0.070,0.986,-0.038,-0.110
1625494047971,2021-07-05T10.07.27.971,0.080,0.987,-0.036,-0.107
1625494047982,2021-07-05T10.07.27.982,0.091,0.986,-0.038,-0.111
1625494047992,2021-07-05T10.07.27.992,0.101,0.985,-0.038,-0.109
1625494048002,2021-07-05T10.07.28.002,0.111,0.984,-0.038,-0.109
1625494048012,2021-07-05T10.07.28.012,0.121,0.986,-0.037,-0.107
1625494048023,2021-07-05T10.07.28.023,0.132,0.984,-0.037,-0.107
1625494048033,2021-07-05T10.07.28.033,0.142,0.984,-0.039,-0.110
1625494048043,2021-07-05T10.07.28.043,0.152,0.986,-0.038,-0.109
1625494048053,2021-07-05T10.07.28.053,0.162,0.986,-0.037,-0.109
1625494048064,2021-07-05T10.07.28.064,0.173,0.986,-0.036,-0.112
1625494048072,2021-07-05T10.07.28.072,0.181,0.986,-0.037,-0.109
1625494048083,2021-07-05T10.07.28.083,0.192,0.984,-0.037,-0.106
1625494048094,2021-07-05T10.07.28.094,0.203,0.984,-0.039,-0.109
1625494048103,2021-07-05T10.07.28.103,0.212,0.985,-0.037,-0.110
1625494048113,2021-07-05T10.07.28.113,0.222,0.985,-0.040,-0.107
1625494048124,2021-07-05T10.07.28.124,0.233,0.984,-0.040,-0.108
1625494048134,2021-07-05T10.07.28.134,0.243,0.985,-0.038,-0.111
1625494048144,2021-07-05T10.07.28.144,0.253,0.986,-0.037,-0.108
1625494048155,2021-07-05T10.07.28.155,0.264,0.985,-0.037,-0.106
1625494048163,2021-07-05T10.07.28.163,0.272,0.985,-0.039,-0.109
1625494048174,2021-07-05T10.07.28.174,0.283,0.986,-0.036,-0.110
1625494048184,2021-07-05T10.07.28.184,0.293,0.988,-0.037,-0.109
1625494048194,2021-07-05T10.07.28.194,0.303,0.986,-0.038,-0.105
1625494048204,2021-07-05T10.07.28.204,0.313,0.983,-0.038,-0.106
1625494048215,2021-07-05T10.07.28.215,0.324,0.986,-0.038,-0.108
1625494048225,2021-07-05T10.07.28.225,0.334,0.986,-0.036,-0.106
1625494048235,2021-07-05T10.07.28.235,0.344,0.989,-0.037,-0.111
1625494048245,2021-07-05T10.07.28.245,0.354,0.987,-0.038,-0.110
1625494048256,2021-07-05T10.07.28.256,0.365,0.984,-0.037,-0.106
1625494048266,2021-07-05T10.07.28.266,0.375,0.985,-0.037,-0.104
1625494048276,2021-07-05T10.07.28.276,0.385,0.985,-0.037,-0.108
1625494048285,2021-07-05T10.07.28.285,0.394,0.986,-0.038,-0.111
1625494048295,2021-07-05T10.07.28.295,0.404,0.986,-0.039,-0.109
